file_name,file_type,label,colors,height,width,img_variance
188_800px-Takhtejamshid_1158,jpg,Achaemenid architecture,Y,533,800,2910.293554319342
194_800px-Persepolis-001,JPG,Achaemenid architecture,Y,600,800,400.5624661124693
199_800px-Persepolis_P100c_NPG_bull 2,jpg,Achaemenid architecture,Y,600,800,1122.2896672595366
199_800px-Persepolis_P100c_NPG_bull,jpg,Achaemenid architecture,Y,600,800,1122.2896672595366
217_800px-Persepolis_24,jpg,Achaemenid architecture,Y,600,800,1328.4741506918747
21_Tonbeaux-achemenides,JPG,Achaemenid architecture,Y,600,800,361.90045555512154
225_800px-Takhtejamshid_1108 2,jpg,Achaemenid architecture,Y,533,800,1044.5422859436894
225_800px-Takhtejamshid_1108,jpg,Achaemenid architecture,Y,533,800,1044.5422859436894
240_800px-Persepolis_24,jpg,Achaemenid architecture,Y,600,800,6280.848136375611
241_800px-Takhtejamshid53,jpg,Achaemenid architecture,Y,533,800,3169.5754759251354
242_800px-Persepolis_king_P100C,jpg,Achaemenid architecture,Y,520,800,2149.7156068032696
247_800px-Persepolis_relief_sud_P100C_haut,jpg,Achaemenid architecture,Y,511,800,2521.4091626703207
254_800px-CyrustheGreatTomb_22057 2,jpg,Achaemenid architecture,Y,600,800,1125.4798375465257
254_800px-CyrustheGreatTomb_22057,jpg,Achaemenid architecture,Y,600,800,1125.4798375465257
257_725px-Tomb_of_Cyrus_the_Great-001 2,JPG,Achaemenid architecture,Y,599,725,1407.0042414224388
257_725px-Tomb_of_Cyrus_the_Great-001,JPG,Achaemenid architecture,Y,599,725,1407.0042414224388
262_Cyrus_tomb 2,jpg,Achaemenid architecture,Y,387,600,410.41849505926166
262_Cyrus_tomb,jpg,Achaemenid architecture,Y,387,600,410.41849505926166
264_800px-Pasargade_1,JPG,Achaemenid architecture,Y,600,800,1171.0107466270015
265_800px-CyrustheGreatTomb_22058 2,jpg,Achaemenid architecture,Y,600,800,1188.5924239128929
265_800px-CyrustheGreatTomb_22058,jpg,Achaemenid architecture,Y,600,800,1188.5924239128929
267_800px-CyrustheGreatTomb_22051 2,jpg,Achaemenid architecture,Y,600,800,1566.9274522152778
267_800px-CyrustheGreatTomb_22051,jpg,Achaemenid architecture,Y,600,800,1566.9274522152778
269_800px-CyrustheGreatTombRestoration_22046 2,jpg,Achaemenid architecture,Y,600,800,1224.9113280100457
269_800px-CyrustheGreatTombRestoration_22046,jpg,Achaemenid architecture,Y,600,800,1224.9113280100457
26_800px-Fire_altars,jpg,Achaemenid architecture,Y,600,800,9109.77110334679
274_800px-CyrustheGreatTomb_22060,jpg,Achaemenid architecture,Y,600,800,1495.1559003457517
275_800px-Pasargadae 2,JPG,Achaemenid architecture,Y,600,800,361.07931775728395
275_800px-Pasargadae,JPG,Achaemenid architecture,Y,600,800,361.07931775728395
276_659px-Pasargades_cyrus_cropped,jpg,Achaemenid architecture,Y,599,659,3408.9815155361653
280_800px-CyrustheGreatTomb_22055,jpg,Achaemenid architecture,Y,600,800,810.7875402746912
281_400px-Pasargades_cyrus 2,jpg,Achaemenid architecture,Y,600,400,4588.597373728731
281_400px-Pasargades_cyrus,jpg,Achaemenid architecture,Y,600,400,4588.597373728731
282_627px-Pasargad232,JPG,Achaemenid architecture,Y,600,627,1107.5760389680393
316_800px-Persepolis_Taureaux,jpg,Achaemenid architecture,Y,519,800,4302.597886656731
319_800px-Persepolis_24,jpg,Achaemenid architecture,Y,600,800,4921.366491368032
31_800px-Naqshe_Rostam_1,JPG,Achaemenid architecture,Y,600,800,5003.584487030899
321_800px-Kabe_Zartosht-1 2,JPG,Achaemenid architecture,Y,600,800,549.0091326190158
321_800px-Kabe_Zartosht-1,JPG,Achaemenid architecture,Y,600,800,549.0091326190158
329_800px-Kabe_Zartosht-11,JPG,Achaemenid architecture,Y,600,800,1304.9918369629818
32_769px-Naqsh-e_rostam,JPG,Achaemenid architecture,Y,599,769,14987.519654500158
331_800px-Naqsherostam43,jpg,Achaemenid architecture,Y,450,800,758.4930984480236
335_384px-Naqsh_i_Rustam,jpg,Achaemenid architecture,Y,600,384,1027.2359851026474
335_384px-Naqsh_i_Rustam,jpg,Achaemenid architecture,Y,600,384,1027.2359851026474
336_450px-Tour_nagsh-e-rostam_iran,jpg,Achaemenid architecture,Y,600,450,2101.9119907599447
340_450px-Kabaa_ye_Zartosht 2,jpg,Achaemenid architecture,Y,600,450,2461.7754104591345
340_450px-Kabaa_ye_Zartosht,jpg,Achaemenid architecture,Y,600,450,2461.7754104591345
343_800px-Kabe_Zartosht-10,JPG,Achaemenid architecture,Y,600,800,1303.3995189253685
397_Danial 2,jpg,Achaemenid architecture,Y,357,500,1236.3691043338508
397_Danial,jpg,Achaemenid architecture,Y,357,500,1236.3691043338508
402_400px-Tomb_of_Daniel_1,jpg,Achaemenid architecture,Y,600,400,1762.6865849506175
439_800px-Khakhdarious 2,JPG,Achaemenid architecture,Y,600,800,480.6169899211035
439_800px-Khakhdarious,JPG,Achaemenid architecture,Y,600,800,480.6169899211035
446_800px-Khagdarious,JPG,Achaemenid architecture,Y,600,800,528.9978902950902
507_800px-Persepolis_Taureaux,jpg,Achaemenid architecture,Y,519,800,4302.597886656731
508_800px-Persepolis_24,jpg,Achaemenid architecture,Y,600,800,4921.366491368032
686_Apadana,jpg,Achaemenid architecture,Y,474,600,3307.91893340268
687_800px-Apadana_palace_persepolis,JPG,Achaemenid architecture,Y,600,800,2722.6857044982635
692_lossy-page1-800px-Apadana_Palace_in_Persepolis_located_in_Iran,jpg,Achaemenid architecture,Y,437,800,227.62396368665912
704_800px-Persian_ccity,jpg,Achaemenid architecture,Y,600,800,4199.67984262237
707_400px-Takhtejamshid_7 2,JPG,Achaemenid architecture,Y,600,400,1679.904555009705
707_400px-Takhtejamshid_7,JPG,Achaemenid architecture,Y,600,400,1679.904555009705
709_450px-Pers%C4%93s_polis 2,jpg,Achaemenid architecture,Y,600,450,1274.8371999925316
709_450px-Pers%C4%93s_polis,jpg,Achaemenid architecture,Y,600,450,1274.8371999925316
710_800px-Takhtejamshid15,JPG,Achaemenid architecture,Y,533,800,1800.535993801941
716_800px-Persepolis_6 2,JPG,Achaemenid architecture,Y,600,800,785.4789791610416
716_800px-Persepolis_6,JPG,Achaemenid architecture,Y,600,800,785.4789791610416
720_397px-20101229_Gates_of_the_nations_Persepolis_Iran 2,jpg,Achaemenid architecture,Y,599,397,2209.7594987840403
720_397px-20101229_Gates_of_the_nations_Persepolis_Iran,jpg,Achaemenid architecture,Y,599,397,2209.7594987840403
728_800px-Persepolis_24,jpg,Achaemenid architecture,Y,600,800,4340.271047554396
730_449px-Persepolis_24,jpg,Achaemenid architecture,Y,599,449,888.4631128165191
730_449px-Persepolis_24,jpg,Achaemenid architecture,Y,599,449,888.4631128165191
734_800px-Persian_cityy,jpg,Achaemenid architecture,Y,600,800,2613.840693659251
750_450px-Gate_of_All_Nations 2,jpg,Achaemenid architecture,Y,600,450,2499.027137516207
750_450px-Gate_of_All_Nations,jpg,Achaemenid architecture,Y,600,450,2499.027137516207
755_lossy-page1-800px-Nations_Gate_palace_%28kakh-e-darvaz-e-keshvarha%29_in_Persepolis,jpg,Achaemenid architecture,Y,523,800,401.9791998923579
766_543px-Gate_of_Nations_2008,jpg,Achaemenid architecture,Y,599,543,3796.6693092298233
771_800px-Persepolis_24,jpg,Achaemenid architecture,Y,600,800,1640.3248511974832
774_lossy-page1-661px-Apadana_palace_in_persepolis_in_Iran,jpg,Achaemenid architecture,Y,599,661,403.43704120868944
